experiment,game,method,seed,budget,best_welfare,payoff_dominant_found
restart_selection,stag_hunt,standard_pg,11,10,7.6460416327094265,1
restart_selection,stag_hunt,standard_pg,11,11,7.6460416327094265,1
restart_selection,stag_hunt,standard_pg,11,12,7.6460416327094265,1
restart_selection,stag_hunt,standard_pg,12,1,7.728373155291708,1
restart_selection,stag_hunt,standard_pg,12,2,7.728373155291708,1
restart_selection,stag_hunt,standard_pg,12,3,7.728373155291708,1
restart_selection,stag_hunt,standard_pg,12,4,7.728373155291708,1
restart_selection,stag_hunt,standard_pg,12,5,7.796677089139752,1
restart_selection,stag_hunt,standard_pg,12,6,7.796677089139752,1
restart_selection,stag_hunt,standard_pg,12,7,7.796677089139752,1
restart_selection,stag_hunt,standard_pg,12,8,7.796677089139752,1
restart_selection,stag_hunt,standard_pg,12,9,7.796677089139752,1
restart_selection,stag_hunt,standard_pg,12,10,7.796677089139752,1
restart_selection,stag_hunt,standard_pg,12,11,7.796677089139752,1
restart_selection,stag_hunt,standard_pg,12,12,7.796677089139752,1
restart_selection,stag_hunt,standard_pg,13,1,7.753684130211333,1
restart_selection,stag_hunt,standard_pg,13,2,7.753684130211333,1
restart_selection,stag_hunt,standard_pg,13,3,7.753684130211333,1
restart_selection,stag_hunt,standard_pg,13,4,7.753684130211333,1
restart_selection,stag_hunt,standard_pg,13,5,7.753684130211333,1
restart_selection,stag_hunt,standard_pg,13,6,7.753684130211333,1
restart_selection,stag_hunt,standard_pg,13,7,7.753684130211333,1
restart_selection,stag_hunt,standard_pg,13,8,7.753684130211333,1
restart_selection,stag_hunt,standard_pg,13,9,7.753684130211333,1
restart_selection,stag_hunt,standard_pg,13,10,7.753684130211333,1
restart_selection,stag_hunt,standard_pg,13,11,7.753684130211333,1
restart_selection,stag_hunt,standard_pg,13,12,7.753684130211333,1
restart_selection,stag_hunt,standard_pg,14,1,3.964699830431476,0
restart_selection,stag_hunt,standard_pg,14,2,3.9758977490995107,0
restart_selection,stag_hunt,standard_pg,14,3,3.9758977490995107,0
restart_selection,stag_hunt,standard_pg,14,4,3.9758977490995107,0
restart_selection,stag_hunt,standard_pg,14,5,7.699861775004729,1
restart_selection,stag_hunt,standard_pg,14,6,7.699861775004729,1
restart_selection,stag_hunt,standard_pg,14,7,7.699861775004729,1
restart_selection,stag_hunt,standard_pg,14,8,7.699861775004729,1
restart_selection,stag_hunt,standard_pg,14,9,7.699861775004729,1
restart_selection,stag_hunt,standard_pg,14,10,7.699861775004729,1
restart_selection,stag_hunt,standard_pg,14,11,7.699861775004729,1
restart_selection,stag_hunt,standard_pg,14,12,7.699861775004729,1
restart_selection,stag_hunt,standard_pg,15,1,7.4263221660336605,1
restart_selection,stag_hunt,standard_pg,15,2,7.657613835432233,1
restart_selection,stag_hunt,standard_pg,15,3,7.657613835432233,1
restart_selection,stag_hunt,standard_pg,15,4,7.657613835432233,1
restart_selection,stag_hunt,standard_pg,15,5,7.781849291394437,1
restart_selection,stag_hunt,standard_pg,15,6,7.781849291394437,1
restart_selection,stag_hunt,standard_pg,15,7,7.781849291394437,1
restart_selection,stag_hunt,standard_pg,15,8,7.781849291394437,1
restart_selection,stag_hunt,standard_pg,15,9,7.781849291394437,1
restart_selection,stag_hunt,standard_pg,15,10,7.781849291394437,1
restart_selection,stag_hunt,standard_pg,15,11,7.781849291394437,1
restart_selection,stag_hunt,standard_pg,15,12,7.781849291394437,1
restart_selection,stag_hunt,standard_pg,16,1,3.976292510167566,0
restart_selection,stag_hunt,standard_pg,16,2,3.976292510167566,0
restart_selection,stag_hunt,standard_pg,16,3,3.976292510167566,0
restart_selection,stag_hunt,standard_pg,16,4,3.9773360997004032,0
restart_selection,stag_hunt,standard_pg,16,5,3.9778675216903823,0
restart_selection,stag_hunt,standard_pg,16,6,3.9778675216903823,0
restart_selection,stag_hunt,standard_pg,16,7,3.9778675216903823,0
restart_selection,stag_hunt,standard_pg,16,8,3.9778675216903823,0
restart_selection,stag_hunt,standard_pg,16,9,3.9778675216903823,0
restart_selection,stag_hunt,standard_pg,16,10,3.9778675216903823,0
restart_selection,stag_hunt,standard_pg,16,11,3.9778675216903823,0
restart_selection,stag_hunt,standard_pg,16,12,3.9778675216903823,0
restart_selection,stag_hunt,standard_pg,17,1,3.976467867164809,0
restart_selection,stag_hunt,standard_pg,17,2,7.735830590825942,1
restart_selection,stag_hunt,standard_pg,17,3,7.735830590825942,1
restart_selection,stag_hunt,standard_pg,17,4,7.735830590825942,1
restart_selection,stag_hunt,standard_pg,17,5,7.735830590825942,1
restart_selection,stag_hunt,standard_pg,17,6,7.735830590825942,1
restart_selection,stag_hunt,standard_pg,17,7,7.735830590825942,1
restart_selection,stag_hunt,standard_pg,17,8,7.735830590825942,1
restart_selection,stag_hunt,standard_pg,17,9,7.735830590825942,1
restart_selection,stag_hunt,standard_pg,17,10,7.735830590825942,1
restart_selection,stag_hunt,standard_pg,17,11,7.785658105260503,1
restart_selection,stag_hunt,standard_pg,17,12,7.785658105260503,1
restart_selection,stag_hunt,standard_pg,18,1,3.9697865472493286,0
restart_selection,stag_hunt,standard_pg,18,2,3.9697865472493286,0
restart_selection,stag_hunt,standard_pg,18,3,3.974950620426357,0
restart_selection,stag_hunt,standard_pg,18,4,3.974950620426357,0
restart_selection,stag_hunt,standard_pg,18,5,3.974950620426357,0
restart_selection,stag_hunt,standard_pg,18,6,7.7791893110928285,1
restart_selection,stag_hunt,standard_pg,18,7,7.7791893110928285,1
restart_selection,stag_hunt,standard_pg,18,8,7.7791893110928285,1
restart_selection,stag_hunt,standard_pg,18,9,7.7791893110928285,1
restart_selection,stag_hunt,standard_pg,18,10,7.7791893110928285,1
restart_selection,stag_hunt,standard_pg,18,11,7.7791893110928285,1
restart_selection,stag_hunt,standard_pg,18,12,7.7791893110928285,1
restart_selection,stag_hunt,standard_pg,19,1,7.667240373261407,1
restart_selection,stag_hunt,standard_pg,19,2,7.763604511556599,1
restart_selection,stag_hunt,standard_pg,19,3,7.763604511556599,1
restart_selection,stag_hunt,standard_pg,19,4,7.763604511556599,1
restart_selection,stag_hunt,standard_pg,19,5,7.763604511556599,1
restart_selection,stag_hunt,standard_pg,19,6,7.763604511556599,1
restart_selection,stag_hunt,standard_pg,19,7,7.763604511556599,1
restart_selection,stag_hunt,standard_pg,19,8,7.763604511556599,1
restart_selection,stag_hunt,standard_pg,19,9,7.763604511556599,1
restart_selection,stag_hunt,standard_pg,19,10,7.763604511556599,1
restart_selection,stag_hunt,standard_pg,19,11,7.7675124641075435,1
restart_selection,stag_hunt,standard_pg,19,12,7.7675124641075435,1
restart_selection,stag_hunt,standard_pg,20,1,3.97133030047163,0
restart_selection,stag_hunt,standard_pg,20,2,3.97347133375686,0
restart_selection,stag_hunt,standard_pg,20,3,7.750234149994611,1
restart_selection,stag_hunt,standard_pg,20,4,7.750234149994611,1
restart_selection,stag_hunt,standard_pg,20,5,7.750234149994611,1
restart_selection,stag_hunt,standard_pg,20,6,7.750234149994611,1
restart_selection,stag_hunt,standard_pg,20,7,7.750234149994611,1
restart_selection,stag_hunt,standard_pg,20,8,7.750234149994611,1
restart_selection,stag_hunt,standard_pg,20,9,7.750234149994611,1
restart_selection,stag_hunt,standard_pg,20,10,7.750234149994611,1
restart_selection,stag_hunt,standard_pg,20,11,7.750234149994611,1
restart_selection,stag_hunt,standard_pg,20,12,7.750234149994611,1
restart_selection,stag_hunt,standard_pg,21,1,3.971428988432407,0
restart_selection,stag_hunt,standard_pg,21,2,3.971428988432407,0
restart_selection,stag_hunt,standard_pg,21,3,7.805804347673494,1
restart_selection,stag_hunt,standard_pg,21,4,7.805804347673494,1
restart_selection,stag_hunt,standard_pg,21,5,7.805804347673494,1
restart_selection,stag_hunt,standard_pg,21,6,7.805804347673494,1
restart_selection,stag_hunt,standard_pg,21,7,7.805804347673494,1
restart_selection,stag_hunt,standard_pg,21,8,7.805804347673494,1
restart_selection,stag_hunt,standard_pg,21,9,7.805804347673494,1
restart_selection,stag_hunt,standard_pg,21,10,7.805804347673494,1
restart_selection,stag_hunt,standard_pg,21,11,7.805804347673494,1
restart_selection,stag_hunt,standard_pg,21,12,7.805804347673494,1
restart_selection,stag_hunt,standard_pg,22,1,7.726608322324633,1
restart_selection,stag_hunt,standard_pg,22,2,7.726608322324633,1
restart_selection,stag_hunt,standard_pg,22,3,7.726608322324633,1
restart_selection,stag_hunt,standard_pg,22,4,7.726608322324633,1
restart_selection,stag_hunt,standard_pg,22,5,7.726608322324633,1
restart_selection,stag_hunt,standard_pg,22,6,7.726608322324633,1
restart_selection,stag_hunt,standard_pg,22,7,7.726608322324633,1
restart_selection,stag_hunt,standard_pg,22,8,7.726608322324633,1
restart_selection,stag_hunt,standard_pg,22,9,7.726608322324633,1
restart_selection,stag_hunt,standard_pg,22,10,7.726608322324633,1
restart_selection,stag_hunt,standard_pg,22,11,7.726608322324633,1
restart_selection,stag_hunt,standard_pg,22,12,7.726608322324633,1
restart_selection,stag_hunt,standard_pg,23,1,7.749379377994337,1
restart_selection,stag_hunt,standard_pg,23,2,7.749379377994337,1
restart_selection,stag_hunt,standard_pg,23,3,7.749379377994337,1
restart_selection,stag_hunt,standard_pg,23,4,7.749379377994337,1
restart_selection,stag_hunt,standard_pg,23,5,7.749379377994337,1
restart_selection,stag_hunt,standard_pg,23,6,7.749379377994337,1
restart_selection,stag_hunt,standard_pg,23,7,7.749379377994337,1
restart_selection,stag_hunt,standard_pg,23,8,7.749379377994337,1
restart_selection,stag_hunt,standard_pg,23,9,7.749379377994337,1
restart_selection,stag_hunt,standard_pg,23,10,7.749379377994337,1
restart_selection,stag_hunt,standard_pg,23,11,7.749379377994337,1
restart_selection,stag_hunt,standard_pg,23,12,7.749379377994337,1
restart_selection,stag_hunt,standard_pg,24,1,3.9755376461765217,0
restart_selection,stag_hunt,standard_pg,24,2,7.794526562415134,1
restart_selection,stag_hunt,standard_pg,24,3,7.794526562415134,1
restart_selection,stag_hunt,standard_pg,24,4,7.794526562415134,1
restart_selection,stag_hunt,standard_pg,24,5,7.794526562415134,1
restart_selection,stag_hunt,standard_pg,24,6,7.794526562415134,1
restart_selection,stag_hunt,standard_pg,24,7,7.794526562415134,1
restart_selection,stag_hunt,standard_pg,24,8,7.794526562415134,1
restart_selection,stag_hunt,standard_pg,24,9,7.794526562415134,1
restart_selection,stag_hunt,standard_pg,24,10,7.794526562415134,1
restart_selection,stag_hunt,standard_pg,24,11,7.794526562415134,1
restart_selection,stag_hunt,standard_pg,24,12,7.794526562415134,1
restart_selection,stag_hunt,standard_pg,25,1,7.802763570993747,1
restart_selection,stag_hunt,standard_pg,25,2,7.802763570993747,1
restart_selection,stag_hunt,standard_pg,25,3,7.802763570993747,1
restart_selection,stag_hunt,standard_pg,25,4,7.802763570993747,1
restart_selection,stag_hunt,standard_pg,25,5,7.802763570993747,1
restart_selection,stag_hunt,standard_pg,25,6,7.802763570993747,1
