experiment,game,method,seed,success,restarts,final_reward_mean
restart,stag_hunt,standard_pg,32,1,0,3.8611056776782178
restart,stag_hunt,standard_pg,33,1,2,3.8528417504190378
restart,stag_hunt,standard_pg,34,1,0,3.899085285524692
restart,stag_hunt,standard_pg,35,1,2,3.886096458395179
restart,stag_hunt,standard_pg,36,1,0,3.846816012320715
restart,stag_hunt,standard_pg,37,1,1,3.8551679749270744
restart,stag_hunt,standard_pg,38,1,1,3.867271274367864
restart,stag_hunt,standard_pg,39,1,1,3.887070888880257
restart,stag_hunt,standard_pg,40,1,2,3.847159240241932
restart,stag_hunt,standard_pg,41,1,4,3.7021081380547964
restart,stag_hunt,standard_pg,42,1,0,3.8899234125197166
restart,stag_hunt,standard_pg,43,1,1,3.9089326460463463
restart,stag_hunt,standard_pg,44,1,5,3.854759802611436
restart,stag_hunt,standard_pg,45,1,0,3.7879476957297715
restart,stag_hunt,standard_pg,46,1,1,3.8489031608122977
restart,stag_hunt,standard_pg,47,1,4,3.8773453589127076
restart,stag_hunt,standard_pg,48,1,0,3.8616609868889826
restart,stag_hunt,standard_pg,49,1,7,3.4698307088734586
restart,stag_hunt,standard_pg,50,1,5,3.870656604093998
restart,stag_hunt,standard_pg,51,1,3,3.837285540131904
restart,stag_hunt,standard_pg,52,1,1,3.8889282744950293
restart,stag_hunt,standard_pg,53,1,0,3.798657331128055
restart,stag_hunt,standard_pg,54,1,0,3.8450131123680196
restart,stag_hunt,standard_pg,55,1,0,3.9011785138679307
restart,stag_hunt,standard_pg,56,1,0,3.7348351211333757
restart,stag_hunt,standard_pg,57,1,5,3.881798571397289
restart,stag_hunt,standard_pg,58,1,1,3.817405144264542
restart,stag_hunt,standard_pg,59,1,1,3.8940020035232332
restart,stag_hunt,standard_pg,60,1,4,3.827093334723795
restart,stag_hunt,standard_pg,61,1,0,3.8733174870381237
restart,stag_hunt,standard_pg,62,1,1,3.733059841222523
restart,stag_hunt,standard_pg,63,1,3,3.833636251035145
restart,stag_hunt,standard_pg,64,1,0,3.8426848452746576
restart,stag_hunt,standard_pg,65,1,2,3.8663627611463003
restart,stag_hunt,standard_pg,66,1,0,3.882307178188269
restart,stag_hunt,standard_pg,67,1,4,3.8166814662095607
restart,stag_hunt,standard_pg,68,1,8,3.857718724179943
restart,stag_hunt,standard_pg,69,1,0,3.8764121099349826
restart,stag_hunt,standard_pg,70,1,1,3.8861738263827093
restart,stag_hunt,standard_pg,71,1,0,3.748504627180238
restart,stag_hunt,standard_pg,72,1,0,3.8773425206983614
restart,stag_hunt,standard_pg,73,1,0,3.8007658357144347
restart,stag_hunt,standard_pg,74,1,7,3.8914216501032715
restart,stag_hunt,standard_pg,75,1,0,3.885259064811157
restart,stag_hunt,standard_pg,76,1,0,3.424797983379528
restart,stag_hunt,standard_pg,77,1,1,3.858278208887108
restart,stag_hunt,standard_pg,78,1,2,3.8387075784625933
restart,stag_hunt,standard_pg,79,1,1,3.8483402911055142
restart,stag_hunt,standard_pg,80,1,2,3.8692101988796637
restart,stag_hunt,standard_pg,81,1,3,3.768817653585203
restart,stag_hunt,standard_pg,82,1,1,3.8731996903926844
restart,stag_hunt,standard_pg,83,1,0,3.862780017375667
restart,stag_hunt,standard_pg,84,1,3,3.8157387999526278
restart,stag_hunt,standard_pg,85,1,2,3.8714386629065523
restart,stag_hunt,standard_pg,86,1,6,3.8645241524693894
restart,stag_hunt,standard_pg,87,1,2,3.744702918127902
restart,stag_hunt,standard_pg,88,1,2,3.876039749817851
restart,stag_hunt,standard_pg,89,1,1,3.601156738905792
restart,stag_hunt,standard_pg,90,1,0,3.8505313164804504
restart,stag_hunt,standard_pg,91,1,4,3.8021857841445237
restart,stag_hunt,standard_pg,92,1,1,3.8107954807850835
restart,stag_hunt,standard_pg,93,1,1,3.8942716882365653
restart,stag_hunt,standard_pg,94,1,3,3.8480505133674914
restart,stag_hunt,standard_pg,95,1,1,3.890969381042483
restart,stag_hunt,standard_pg,96,1,0,3.881630140781252
restart,stag_hunt,standard_pg,97,1,5,3.847141118978821
restart,stag_hunt,standard_pg,98,1,1,3.8298281042688673
restart,stag_hunt,standard_pg,99,1,2,3.849328113468138
restart,stag_hunt,meta_mapg,0,1,1,3.713286028468316
restart,stag_hunt,meta_mapg,1,1,1,3.795718095266088
restart,stag_hunt,meta_mapg,2,1,2,3.8682494641801872
restart,stag_hunt,meta_mapg,3,1,0,3.5940982617631407
restart,stag_hunt,meta_mapg,4,1,1,3.856837555941758
restart,stag_hunt,meta_mapg,5,1,1,3.883847686134282
restart,stag_hunt,meta_mapg,6,1,1,3.860228846438545
restart,stag_hunt,meta_mapg,7,1,0,3.854124428030828
restart,stag_hunt,meta_mapg,8,1,1,3.870740142210453
restart,stag_hunt,meta_mapg,9,1,0,3.8706255512518144
restart,stag_hunt,meta_mapg,10,1,1,3.8914179801865716
restart,stag_hunt,meta_mapg,11,1,2,3.8716495891078524
restart,stag_hunt,meta_mapg,12,1,2,3.789821344429569
restart,stag_hunt,meta_mapg,13,1,0,3.723320353879991
restart,stag_hunt,meta_mapg,14,1,3,3.8594649606590874
restart,stag_hunt,meta_mapg,15,1,2,3.7927965597888234
restart,stag_hunt,meta_mapg,16,1,1,3.903345266883298
restart,stag_hunt,meta_mapg,17,1,0,3.7939391008232537
restart,stag_hunt,meta_mapg,18,1,0,3.8876777649589087
restart,stag_hunt,meta_mapg,19,1,1,3.368021686363501
restart,stag_hunt,meta_mapg,20,1,1,3.91816226114344
restart,stag_hunt,meta_mapg,21,1,1,3.786732875176253
restart,stag_hunt,meta_mapg,22,1,0,3.8633388383458156
restart,stag_hunt,meta_mapg,23,1,0,3.8659707501970306
restart,stag_hunt,meta_mapg,24,1,2,3.843638207341173
restart,stag_hunt,meta_mapg,25,1,0,3.8844409981736376
restart,stag_hunt,meta_mapg,26,1,3,3.8855574519377516
restart,stag_hunt,meta_mapg,27,1,0,3.8432923099065555
restart,stag_hunt,meta_mapg,28,1,0,3.754134325964343
restart,stag_hunt,meta_mapg,29,1,0,3.8391358992585523
restart,stag_hunt,meta_mapg,30,1,6,3.8732957363108267
restart,stag_hunt,meta_mapg,31,1,0,3.898993605317509
restart,stag_hunt,meta_mapg,32,1,0,3.869702395928897
restart,stag_hunt,meta_mapg,33,1,2,3.861689178204119
restart,stag_hunt,meta_mapg,34,1,0,3.8991625550241045
restart,stag_hunt,meta_mapg,35,1,2,3.8879467449392404
restart,stag_hunt,meta_mapg,36,1,0,3.855998804374735
restart,stag_hunt,meta_mapg,37,1,1,3.862978412253197
restart,stag_hunt,meta_mapg,38,1,1,3.8729213523975234
restart,stag_hunt,meta_mapg,39,1,1,3.8886183213525527
restart,stag_hunt,meta_mapg,40,1,2,3.85696756312107
restart,stag_hunt,meta_mapg,41,1,2,3.7045666609979078
restart,stag_hunt,meta_mapg,42,1,0,3.8926205240439407
restart,stag_hunt,meta_mapg,43,1,1,3.9090078291265775
restart,stag_hunt,meta_mapg,44,1,5,3.8610168293668683
restart,stag_hunt,meta_mapg,45,1,0,3.8356734861978508
restart,stag_hunt,meta_mapg,46,1,1,3.855730935438268
restart,stag_hunt,meta_mapg,47,1,4,3.8783223595051926
restart,stag_hunt,meta_mapg,48,1,0,3.8666951395814744
restart,stag_hunt,meta_mapg,49,1,6,3.7565080100705677
restart,stag_hunt,meta_mapg,50,1,5,3.875326125970778
restart,stag_hunt,meta_mapg,51,1,1,3.7769175140438005
restart,stag_hunt,meta_mapg,52,1,0,3.7552221937123242
restart,stag_hunt,meta_mapg,53,1,0,3.838843787834252
restart,stag_hunt,meta_mapg,54,1,0,3.864324784763342
restart,stag_hunt,meta_mapg,55,1,0,3.9013162161009722
restart,stag_hunt,meta_mapg,56,1,0,3.8042329569180273
restart,stag_hunt,meta_mapg,57,1,5,3.8834702257938893
restart,stag_hunt,meta_mapg,58,1,0,3.664764020891006
restart,stag_hunt,meta_mapg,59,1,1,3.8943708360294496
restart,stag_hunt,meta_mapg,60,1,3,3.8078488640360666
restart,stag_hunt,meta_mapg,61,1,0,3.875945287118529
restart,stag_hunt,meta_mapg,62,1,1,3.8186837850925563
restart,stag_hunt,meta_mapg,63,1,0,3.7564378637528852
restart,stag_hunt,meta_mapg,64,1,0,3.8600919686441513
restart,stag_hunt,meta_mapg,65,1,2,3.872907981492813
restart,stag_hunt,meta_mapg,66,1,0,3.884534192309289
restart,stag_hunt,meta_mapg,67,1,4,3.846079832642773
restart,stag_hunt,meta_mapg,68,1,7,3.7809331210350914
restart,stag_hunt,meta_mapg,69,1,0,3.878100218482748
restart,stag_hunt,meta_mapg,70,1,1,3.887714654875851
restart,stag_hunt,meta_mapg,71,1,0,3.825740936337591
restart,stag_hunt,meta_mapg,72,1,0,3.879281849703011
restart,stag_hunt,meta_mapg,73,1,0,3.8331209247229596
restart,stag_hunt,meta_mapg,74,1,7,3.8934481544955326
restart,stag_hunt,meta_mapg,75,1,0,3.8875946367200704
restart,stag_hunt,meta_mapg,76,1,0,3.8215698688805677
restart,stag_hunt,meta_mapg,77,1,1,3.8708134588735086
restart,stag_hunt,meta_mapg,78,1,1,3.801548938791279
restart,stag_hunt,meta_mapg,79,1,1,3.861094744360642
restart,stag_hunt,meta_mapg,80,1,2,3.872661588766354
restart,stag_hunt,meta_mapg,81,1,0,3.8027494088430567
restart,stag_hunt,meta_mapg,82,1,1,3.876200565913831
restart,stag_hunt,meta_mapg,83,1,0,3.867257665703937
restart,stag_hunt,meta_mapg,84,1,3,3.8319480302608544
restart,stag_hunt,meta_mapg,85,1,2,3.8766428875177716
restart,stag_hunt,meta_mapg,86,1,1,3.7843423687243143
restart,stag_hunt,meta_mapg,87,1,1,3.786715908183983
restart,stag_hunt,meta_mapg,88,1,2,3.877495656918655
restart,stag_hunt,meta_mapg,89,1,1,3.820849241694348
restart,stag_hunt,meta_mapg,90,1,0,3.8589384830658484
restart,stag_hunt,meta_mapg,91,1,2,3.6627676168279812
restart,stag_hunt,meta_mapg,92,1,1,3.8396413856497382
restart,stag_hunt,meta_mapg,93,1,1,3.8953225393525805
restart,stag_hunt,meta_mapg,94,1,0,3.802190126309408
restart,stag_hunt,meta_mapg,95,1,1,3.892439919298321
restart,stag_hunt,meta_mapg,96,1,0,3.885736417025024
restart,stag_hunt,meta_mapg,97,1,2,3.8163980344929946
restart,stag_hunt,meta_mapg,98,1,1,3.8490921559117366
restart,stag_hunt,meta_mapg,99,1,2,3.861550479775916
restart,ipd,standard_pg,0,0,12,15.827610427585785
restart,ipd,standard_pg,1,0,12,9.825604328389185
restart,ipd,standard_pg,2,1,7,28.8668299166661
restart,ipd,standard_pg,3,0,12,10.083895771547532
restart,ipd,standard_pg,4,0,12,9.910162490068377
restart,ipd,standard_pg,5,0,12,10.025868223833102
restart,ipd,standard_pg,6,0,12,10.044022335567895
restart,ipd,standard_pg,7,1,7,28.808816210139096
restart,ipd,standard_pg,8,0,12,11.815683181133133
restart,ipd,standard_pg,9,1,1,28.85282307932568
restart,ipd,standard_pg,10,1,12,28.898213215981627
restart,ipd,standard_pg,11,1,0,28.87586048186487
restart,ipd,standard_pg,12,0,12,9.815430159264626
restart,ipd,standard_pg,13,0,12,9.856422995552382
restart,ipd,standard_pg,14,0,12,9.858424227004495
restart,ipd,standard_pg,15,0,12,10.040781824262602
restart,ipd,standard_pg,16,1,4,28.87297270196757
restart,ipd,standard_pg,17,1,10,28.911782794799436
restart,ipd,standard_pg,18,1,9,28.896994333139368
restart,ipd,standard_pg,19,1,9,28.892853072372716
restart,ipd,standard_pg,20,0,12,9.916481878071515
restart,ipd,standard_pg,21,0,12,22.75011231669985
restart,ipd,standard_pg,22,0,12,9.930362890104195
restart,ipd,standard_pg,23,1,4,28.699718383028948
restart,ipd,standard_pg,24,1,9,28.859345511702003
restart,ipd,standard_pg,25,1,7,28.514828212444115
restart,ipd,standard_pg,26,0,12,19.368215363037205
restart,ipd,standard_pg,27,0,12,9.90235466236574
restart,ipd,standard_pg,28,0,12,9.914119981819246
restart,ipd,standard_pg,29,0,12,9.91267746285655
restart,ipd,standard_pg,30,1,1,28.83203255153394
restart,ipd,standard_pg,31,1,0,28.88193391967762
restart,ipd,standard_pg,32,1,12,28.83001966612081
restart,ipd,standard_pg,33,0,12,15.472214050949875
restart,ipd,standard_pg,34,0,12,9.817334228142773
restart,ipd,standard_pg,35,1,0,28.834351580895653
restart,ipd,standard_pg,36,0,12,9.895856977316743
restart,ipd,standard_pg,37,1,11,28.885248106189927
restart,ipd,standard_pg,38,1,3,28.7452592017084
restart,ipd,standard_pg,39,1,0,28.515963240244588
restart,ipd,standard_pg,40,0,12,9.90364735502259
restart,ipd,standard_pg,41,1,2,28.880116209598782
restart,ipd,standard_pg,42,1,7,28.269255938124964
restart,ipd,standard_pg,43,1,10,28.504500382948127
restart,ipd,standard_pg,44,1,6,28.895831622064662
restart,ipd,standard_pg,45,1,8,28.87359341551937
restart,ipd,standard_pg,46,0,12,9.947031992854452
restart,ipd,standard_pg,47,1,8,28.817421858613862
restart,ipd,standard_pg,48,0,12,9.844040444610272
restart,ipd,standard_pg,49,0,12,10.113466080531767
restart,ipd,standard_pg,50,0,12,10.015084459273245
restart,ipd,standard_pg,51,0,12,10.066540282593397
restart,ipd,standard_pg,52,0,12,9.856555576960496
restart,ipd,standard_pg,53,1,3,28.85925662640348
restart,ipd,standard_pg,54,0,12,9.891320379485471
restart,ipd,standard_pg,55,1,10,28.804650195264095
restart,ipd,standard_pg,56,1,2,28.753354180348996
restart,ipd,standard_pg,57,1,9,22.87223078416865
restart,ipd,standard_pg,58,1,6,28.824921281198712
restart,ipd,standard_pg,59,1,6,28.71859640284672
restart,ipd,standard_pg,60,1,9,28.72053110911459
restart,ipd,standard_pg,61,1,0,27.863065069900465
restart,ipd,standard_pg,62,0,12,9.89013395051164
restart,ipd,standard_pg,63,1,11,28.823896463471087
restart,ipd,standard_pg,64,0,12,9.97604167431798
restart,ipd,standard_pg,65,1,9,28.89157027466704
restart,ipd,standard_pg,66,1,9,28.86255790654026
restart,ipd,standard_pg,67,0,12,10.01307970722106
restart,ipd,standard_pg,68,1,3,28.79083104558785
restart,ipd,standard_pg,69,1,0,28.390616851563475
restart,ipd,standard_pg,70,1,7,28.81314804453673
restart,ipd,standard_pg,71,0,12,9.846226434828884
restart,ipd,standard_pg,72,1,3,28.78991910764637
restart,ipd,standard_pg,73,0,12,9.836398459336195
restart,ipd,standard_pg,74,1,4,28.739502191630205
restart,ipd,standard_pg,75,1,1,28.93558229397994
restart,ipd,standard_pg,76,0,12,16.851257698108945
restart,ipd,standard_pg,77,1,4,14.568034377729177
restart,ipd,standard_pg,78,0,12,9.924956180598416
restart,ipd,standard_pg,79,0,12,9.869475282112278
restart,ipd,standard_pg,80,0,12,10.21120219149623
restart,ipd,standard_pg,81,0,12,9.939643767262925
restart,ipd,standard_pg,82,1,4,28.68540442339047
restart,ipd,standard_pg,83,1,11,28.910637646016287
restart,ipd,standard_pg,84,0,12,9.84929780606872
restart,ipd,standard_pg,85,0,12,9.872858221882728
restart,ipd,standard_pg,86,1,3,28.84346168300347
restart,ipd,standard_pg,87,0,12,10.167579316599731
restart,ipd,standard_pg,88,0,12,9.920792873402974
restart,ipd,standard_pg,89,1,1,28.53157654880046
restart,ipd,standard_pg,90,0,12,9.865563241524253
restart,ipd,standard_pg,91,1,3,28.858064728689506
restart,ipd,standard_pg,92,0,12,9.847301285710927
restart,ipd,standard_pg,93,0,12,9.961185091683511
restart,ipd,standard_pg,94,1,5,28.814971912898613
restart,ipd,standard_pg,95,0,12,9.855483354325397
restart,ipd,standard_pg,96,1,10,28.840063770504088
restart,ipd,standard_pg,97,0,12,9.964071981722693
restart,ipd,standard_pg,98,0,12,9.996793009610744
restart,ipd,standard_pg,99,1,0,28.850358459604955
restart,ipd,meta_mapg,0,1,0,25.22761980355222
restart,ipd,meta_mapg,1,1,0,28.579192842130148
restart,ipd,meta_mapg,2,1,0,28.890263540141103
restart,ipd,meta_mapg,3,1,1,28.683166793102593
restart,ipd,meta_mapg,4,1,0,28.554139687344428
restart,ipd,meta_mapg,5,1,7,28.65579813904685
restart,ipd,meta_mapg,6,1,2,26.84715939150506
restart,ipd,meta_mapg,7,1,7,28.39282304440045
restart,ipd,meta_mapg,8,1,4,28.83469932606489
restart,ipd,meta_mapg,9,1,0,28.019609761012504
restart,ipd,meta_mapg,10,1,3,28.738238244714235
restart,ipd,meta_mapg,11,1,0,27.572388255018005
restart,ipd,meta_mapg,12,1,0,28.807357588748154
restart,ipd,meta_mapg,13,1,3,28.555921296374287
restart,ipd,meta_mapg,14,1,1,28.85615477829125
restart,ipd,meta_mapg,15,1,7,28.38054973777235
restart,ipd,meta_mapg,16,1,2,28.897159981788008
restart,ipd,meta_mapg,17,1,0,28.854639932552445
restart,ipd,meta_mapg,18,1,0,24.315229097733052
restart,ipd,meta_mapg,19,1,0,28.9172878194954
restart,ipd,meta_mapg,20,1,1,28.266287520645143
restart,ipd,meta_mapg,21,1,2,28.613260191294252
restart,ipd,meta_mapg,22,1,1,28.90266981811658
restart,ipd,meta_mapg,23,1,3,28.89529950753142
restart,ipd,meta_mapg,24,1,1,28.660577362657072
restart,ipd,meta_mapg,25,1,6,28.581040076246857
restart,ipd,meta_mapg,26,1,2,28.07364094142551
restart,ipd,meta_mapg,27,1,0,28.78250225623512
restart,ipd,meta_mapg,28,1,9,28.90628257831279
restart,ipd,meta_mapg,29,1,0,28.907003158788967
restart,ipd,meta_mapg,30,1,1,28.791849462064896
restart,ipd,meta_mapg,31,1,0,28.794528808245627
restart,ipd,meta_mapg,32,1,0,28.412751671621585
restart,ipd,meta_mapg,33,1,0,28.846436751297347
restart,ipd,meta_mapg,34,1,2,28.869235534766915
restart,ipd,meta_mapg,35,1,4,28.51146487172096
restart,ipd,meta_mapg,36,1,3,26.915687502451775
restart,ipd,meta_mapg,37,1,1,28.47767823267798
restart,ipd,meta_mapg,38,1,1,28.77895106497754
restart,ipd,meta_mapg,39,1,0,28.705714617550367
restart,ipd,meta_mapg,40,1,3,28.72716279288681
restart,ipd,meta_mapg,41,1,0,28.69335389956944
restart,ipd,meta_mapg,42,1,4,28.176846296944134
restart,ipd,meta_mapg,43,1,0,28.877902393576203
restart,ipd,meta_mapg,44,1,5,28.78831172031605
restart,ipd,meta_mapg,45,1,0,28.886852128459786
restart,ipd,meta_mapg,46,1,1,28.79318617636968
restart,ipd,meta_mapg,47,1,5,28.710653488934277
restart,ipd,meta_mapg,48,1,0,28.416460934182798
restart,ipd,meta_mapg,49,1,5,28.51763893301009
restart,ipd,meta_mapg,50,1,7,28.706105167691547
restart,ipd,meta_mapg,51,1,4,28.882325285549193
restart,ipd,meta_mapg,52,1,3,28.791571831920685
restart,ipd,meta_mapg,53,1,3,28.770223364995545
restart,ipd,meta_mapg,54,1,2,27.82730124557711
restart,ipd,meta_mapg,55,1,8,28.615623634163697
restart,ipd,meta_mapg,56,1,3,28.661340150143744
restart,ipd,meta_mapg,57,1,0,28.90485119512943
restart,ipd,meta_mapg,58,1,0,24.311579713294883
restart,ipd,meta_mapg,59,1,3,19.842144106685677
restart,ipd,meta_mapg,60,1,1,28.41256435278732
restart,ipd,meta_mapg,61,1,3,28.866991562106772
restart,ipd,meta_mapg,62,1,0,28.634860771355818
restart,ipd,meta_mapg,63,1,10,24.33062594263629
restart,ipd,meta_mapg,64,1,0,28.89778360935481
restart,ipd,meta_mapg,65,1,0,28.871804188007893
restart,ipd,meta_mapg,66,1,2,28.585847260406993
restart,ipd,meta_mapg,67,1,3,27.85944327962426
restart,ipd,meta_mapg,68,1,0,28.839611054444305
restart,ipd,meta_mapg,69,1,0,28.823572346897155
restart,ipd,meta_mapg,70,1,2,28.27554253177111
restart,ipd,meta_mapg,71,1,2,28.748098560174114
restart,ipd,meta_mapg,72,1,0,28.807263122636762
restart,ipd,meta_mapg,73,1,0,28.86259217255733
restart,ipd,meta_mapg,74,1,3,28.684050191096343
restart,ipd,meta_mapg,75,1,1,28.92158900388181
restart,ipd,meta_mapg,76,1,3,28.921923138814694
restart,ipd,meta_mapg,77,1,0,27.4644722386345
restart,ipd,meta_mapg,78,1,0,28.899069422301665
restart,ipd,meta_mapg,79,1,5,28.884744408365187
restart,ipd,meta_mapg,80,1,0,28.35443867160018
restart,ipd,meta_mapg,81,1,0,28.87521084009453
restart,ipd,meta_mapg,82,1,4,28.824639665666858
restart,ipd,meta_mapg,83,1,0,28.627841332668794
restart,ipd,meta_mapg,84,1,3,28.792267369721745
restart,ipd,meta_mapg,85,1,1,25.095403252866017
restart,ipd,meta_mapg,86,1,6,27.930641932335554
restart,ipd,meta_mapg,87,1,2,28.836328621957005
restart,ipd,meta_mapg,88,1,2,28.919506063170218
restart,ipd,meta_mapg,89,1,2,28.37338434684788
restart,ipd,meta_mapg,90,1,0,28.786264565788372
restart,ipd,meta_mapg,91,1,2,28.48185421396672
restart,ipd,meta_mapg,92,1,6,28.93271431532611
restart,ipd,meta_mapg,93,1,1,28.863766166424433
restart,ipd,meta_mapg,94,1,9,28.827317997117376
restart,ipd,meta_mapg,95,1,1,28.838098615596028
restart,ipd,meta_mapg,96,1,0,28.776692546834177
restart,ipd,meta_mapg,97,1,5,26.45683024133604
restart,ipd,meta_mapg,98,1,3,28.840969785957988
restart,ipd,meta_mapg,99,1,1,28.847484793115424
