persona_id,env_name,noise_pair,seed,method,method_p1,method_p2,final_reward_p1,final_reward_p2,mean_reward_p1,mean_reward_p2,final_distance_to_nash,avg_noise_norm_p1,avg_noise_norm_p2,weight_p1,weight_p2
ipd:cooperative:0,ipd,"0.5,0.2",1,ew_lola,ew_lola,standard,23.500486204687842,43.28733497423093,23.489591260635382,53.84534275991073,,1.6478877006949084,0.6668142535783,0.16000000000000003,1.0
ipd:cooperative:1,ipd,"0.2,0.2",0,standard,standard,standard,29.79554454273952,27.68838551878018,30.471675425806417,34.09737128612445,,0.6127236624020215,0.6800303023241207,1.0,1.0
ipd:cooperative:1,ipd,"0.2,0.2",0,ew,ew,standard,29.11479353434283,27.59254505493326,31.00394471393986,33.399824322057086,,0.5943291228940838,0.622007463481049,1.0,1.0
ipd:cooperative:1,ipd,"0.2,0.2",0,lola,lola,standard,37.77892028574999,24.506386662028174,44.17649909886622,31.355687823335437,,0.5886334629678539,0.6745313209895147,1.0,1.0
ipd:cooperative:1,ipd,"0.2,0.2",0,ew_lola,ew_lola,standard,37.74120754349275,24.34999267426194,44.928622244589214,30.989117717042205,,0.6248774296367534,0.6224275844260837,1.0,1.0
ipd:cooperative:1,ipd,"0.2,0.2",1,standard,standard,standard,30.00484915412681,27.857702621712146,30.995058505427096,33.62046469101635,,0.6196870787079634,0.6693796476727245,1.0,1.0
ipd:cooperative:1,ipd,"0.2,0.2",1,ew,ew,standard,28.705329941423845,27.494727614026825,30.217166499971988,33.42500786510281,,0.5591484543442286,0.6255985510306943,1.0,1.0
ipd:cooperative:1,ipd,"0.2,0.2",1,lola,lola,standard,37.57938968304249,24.598011768959662,42.72872408317119,31.320605850674724,,0.5750373919288002,0.6873842224711829,1.0,1.0
ipd:cooperative:1,ipd,"0.2,0.2",1,ew_lola,ew_lola,standard,42.29337447986741,24.214233185509432,42.86352133741071,31.995862969056436,,0.6591550802779634,0.6668142535783,1.0,1.0
ipd:cooperative:1,ipd,"0.5,0.2",0,standard,standard,standard,29.378050983915664,28.044629923680066,30.268947671638454,34.414132341888084,,1.5318091560050535,0.6800303023241207,1.0,1.0
ipd:cooperative:1,ipd,"0.5,0.2",0,ew,ew,standard,22.895617820935534,44.24539247793499,22.785857751988647,55.420376360448486,,1.4858228072352093,0.622007463481049,0.16000000000000003,1.0
ipd:cooperative:1,ipd,"0.5,0.2",0,lola,lola,standard,37.04603030978901,24.686820312619503,43.75239861785131,31.05842213663962,,1.4715836574196346,0.6745313209895147,1.0,1.0
ipd:cooperative:1,ipd,"0.5,0.2",0,ew_lola,ew_lola,standard,24.632978659793032,42.49020022989222,23.839797721434646,53.596032059859716,,1.5621935740918835,0.6224275844260837,0.16000000000000003,1.0
ipd:cooperative:1,ipd,"0.5,0.2",1,standard,standard,standard,30.233098250174855,28.532995352507495,31.854230028376413,33.58315578403761,,1.5492176967699085,0.6693796476727245,1.0,1.0
ipd:cooperative:1,ipd,"0.5,0.2",1,ew,ew,standard,23.09661740963627,43.462527724151165,22.681276134185726,55.54921083764384,,1.3978711358605709,0.6255985510306943,0.16000000000000003,1.0
ipd:cooperative:1,ipd,"0.5,0.2",1,lola,lola,standard,34.58246435846064,25.018428244692508,42.3374863264865,30.81087832845855,,1.4375934798220005,0.6873842224711829,1.0,1.0
ipd:cooperative:1,ipd,"0.5,0.2",1,ew_lola,ew_lola,standard,23.36203788259058,43.62901684095306,22.96690484071563,54.56657791036234,,1.6478877006949084,0.6668142535783,0.16000000000000003,1.0
ipd:defective:0,ipd,"0.2,0.2",0,standard,standard,standard,46.57596679435225,22.201236758985928,67.30613306251215,21.590604434241293,,0.6127236624020215,0.6800303023241207,1.0,1.0
ipd:defective:0,ipd,"0.2,0.2",0,ew,ew,standard,61.87516194925431,18.442368475933364,70.55626309644855,20.730685641376304,,0.5943291228940838,0.622007463481049,1.0,1.0
ipd:defective:0,ipd,"0.2,0.2",0,lola,lola,standard,67.28653874044812,16.501175948352138,72.01251389573562,19.8604500591709,,0.5886334629678539,0.6745313209895147,1.0,1.0
ipd:defective:0,ipd,"0.2,0.2",0,ew_lola,ew_lola,standard,67.67348277262208,16.515043002680084,72.18571073979156,19.748491688455225,,0.6248774296367534,0.6224275844260837,1.0,1.0
ipd:defective:0,ipd,"0.2,0.2",1,standard,standard,standard,55.256408803625455,20.147364413334138,69.13663829868366,21.010234356005487,,0.6196870787079634,0.6693796476727245,1.0,1.0
ipd:defective:0,ipd,"0.2,0.2",1,ew,ew,standard,61.08443286976765,18.2687295924471,70.54746200488407,20.396030833578035,,0.5591484543442286,0.6255985510306943,1.0,1.0
ipd:defective:0,ipd,"0.2,0.2",1,lola,lola,standard,55.43811762440059,19.597073733137645,69.28924689546594,20.399401335248868,,0.5750373919288002,0.6873842224711829,1.0,1.0
ipd:defective:0,ipd,"0.2,0.2",1,ew_lola,ew_lola,standard,50.22929442115784,21.467541204527233,68.48879654794018,20.93599966709852,,0.6591550802779634,0.6668142535783,1.0,1.0
ipd:defective:0,ipd,"0.5,0.2",0,standard,standard,standard,44.382451777693056,22.835955457039237,66.73454843796273,21.895199971652914,,1.5318091560050535,0.6800303023241207,1.0,1.0
ipd:defective:0,ipd,"0.5,0.2",0,ew,ew,standard,53.56100794976303,32.44851934290689,59.493401284542735,40.936524759039415,,1.4858228072352093,0.622007463481049,0.16000000000000003,1.0
