persona_id,env_name,noise_pair,seed,step,method,method_p1,method_p2,reward_p1,reward_p2,lambda_step,distance_to_nash,avg_grad_norm_p1,avg_grad_norm_p2,avg_noise_norm_p1,avg_noise_norm_p2
ipd:cooperative:0,ipd,"0.2,0.2",1,9,standard,standard,standard,28.898024856782175,28.16723380433371,0.0690834435809882,,1.9585223334105026,1.3081763220432985,0.6196870787079634,0.6693796476727245
ipd:cooperative:0,ipd,"0.2,0.2",1,0,ew,ew,standard,35.612561227454755,50.40494674669868,0.14953487812212204,,5.358861021104587,5.469871472483528,0.4712814126918327,0.5155507836375293
ipd:cooperative:0,ipd,"0.2,0.2",1,1,ew,ew,standard,32.90458751528486,39.46292351436994,0.13042371500610728,,5.000846051002563,4.319468814753954,0.5921247778194647,0.5627914251922201
ipd:cooperative:0,ipd,"0.2,0.2",1,2,ew,ew,standard,31.406547831913684,33.859982651180815,0.11618404012127041,,4.289577627322586,3.396536799633134,0.6468288637192784,0.5843052518924222
ipd:cooperative:0,ipd,"0.2,0.2",1,3,ew,ew,standard,30.907154834579625,31.387076559260052,0.10511205190671433,,3.6661938727276753,2.729029881071665,0.6010471183846753,0.5801526646623341
ipd:cooperative:0,ipd,"0.2,0.2",1,4,ew,ew,standard,30.471799513462337,29.890269381476184,0.09622504486493763,,3.189039734700795,2.297224492310691,0.553750498179295,0.6264045590603413
ipd:cooperative:0,ipd,"0.2,0.2",1,5,ew,ew,standard,30.015293866055025,29.28481897306291,0.08891397050194613,,2.813791289201177,2.0109729683450204,0.54816201307557,0.6369762008802727
ipd:cooperative:0,ipd,"0.2,0.2",1,6,ew,ew,standard,29.2191867576412,28.921411227672923,0.08278001303808509,,2.5226108898317072,1.813823269587043,0.5426811206035616,0.6216391961406645
ipd:cooperative:0,ipd,"0.2,0.2",1,7,ew,ew,standard,28.98149869930693,28.462564327366948,0.07755040492517497,,2.292080935308945,1.6540324425527864,0.5577301882360076,0.619548845334744
ipd:cooperative:0,ipd,"0.2,0.2",1,8,ew,ew,standard,28.433000389483702,28.108022897165647,0.07303188161984392,,2.104656585832104,1.536075064744172,0.5447078446859398,0.6411792783833196
ipd:cooperative:0,ipd,"0.2,0.2",1,9,ew,ew,standard,28.086940182699625,27.79357038624853,0.0690834435809882,,1.945662760990124,1.4376281349133908,0.5591484543442286,0.6255985510306943
