env_name,noise_pair,seed,step,method,reward_p1,reward_p2,lambda_step,distance_to_nash,avg_grad_norm_p1,avg_grad_norm_p2,avg_noise_norm_p1,avg_noise_norm_p2
iterated_rps,"0.2,0.2",0,2,ew,0.01918443084365458,-0.01918443084365458,0.11618404012127041,,0.12608749524765864,0.11419673992500003,1.0537953237070727,1.0118006602083354
iterated_rps,"0.2,0.2",0,3,ew,0.03152770832278662,-0.03152770832278662,0.10511205190671433,,0.1409271027021728,0.12856354598719005,1.0739135284917678,1.018866625344792
iterated_rps,"0.2,0.2",0,4,ew,0.040768459729358206,-0.040768459729358206,0.09622504486493763,,0.15882565452385838,0.1423161958955648,1.062738902253043,1.040067095517069
iterated_rps,"0.2,0.2",0,5,ew,0.01352369013924155,-0.01352369013924155,0.08891397050194613,,0.17348658204260212,0.1638445114138987,1.0836344958642699,1.0362286167191808
iterated_rps,"0.2,0.2",0,0,lola,-0.014085183654589212,0.014085183654589212,0.14953487812212204,,0.10270519261600751,0.0831528270479394,1.1426462060864624,1.0953362619571407
iterated_rps,"0.2,0.2",0,1,lola,-0.017407361050050113,0.017407361050050113,0.13042371500610728,,0.12332888890222143,0.10850684912331876,0.9866498879738115,1.1013036991364458
iterated_rps,"0.2,0.2",0,2,lola,-0.015478668938983118,0.015478668938983118,0.11618404012127041,,0.14996736241129624,0.10935758742658663,1.0189974243572155,1.111387665909057
iterated_rps,"0.2,0.2",0,3,lola,0.011770729730730798,-0.011770729730730798,0.10511205190671433,,0.17302508935370864,0.11970747710366267,1.0470171950834786,1.1013835238050547
iterated_rps,"0.2,0.2",0,4,lola,0.012505620779425618,-0.012505620779425618,0.09622504486493763,,0.19320364783321678,0.1280146770975748,1.0609701059608156,1.1224958262735383
iterated_rps,"0.2,0.2",0,5,lola,0.021913182626853833,-0.021913182626853833,0.08891397050194613,,0.20969617575908286,0.1387438532801792,1.065625756772197,1.1051851575973413
iterated_rps,"0.2,0.2",0,0,ew_lola,0.00037187080557954925,-0.00037187080557954925,0.14953487812212204,,0.10270519261600751,0.0831528270479394,0.8230813089172845,1.1495612457570084
iterated_rps,"0.2,0.2",0,1,ew_lola,0.020621120612378856,-0.020621120612378856,0.13042371500610728,,0.12478768676141855,0.10139426057266664,0.9458815683292543,1.1390964571399875
iterated_rps,"0.2,0.2",0,2,ew_lola,0.015482600861473624,-0.015482600861473624,0.11618404012127041,,0.1457760979483611,0.11605090834386007,1.0149095562883723,1.0922315196135635
iterated_rps,"0.2,0.2",0,3,ew_lola,0.008157829695099376,-0.008157829695099376,0.10511205190671433,,0.15538236343012113,0.13356491578675173,1.076284403465254,1.0668657055795854
iterated_rps,"0.2,0.2",0,4,ew_lola,0.021988380637397567,-0.021988380637397567,0.09622504486493763,,0.16402902018664584,0.14463409400902222,1.1023798375722875,1.0722906383692667
iterated_rps,"0.2,0.2",0,5,ew_lola,0.030378451641255945,-0.030378451641255945,0.08891397050194613,,0.17773218033588437,0.14574797364841285,1.0740985193952197,1.0171992981674076
