game,noise_pair,noise_ratio,seed,method,method_p1,method_p2,final_reward_p1,final_reward_p2,mean_reward_p1,mean_reward_p2,final_distance_to_nash,avg_noise_norm_p1,avg_noise_norm_p2,weight_p1,weight_p2
matching_pennies,"16,1",256.0,0,lola,lola,lola,-0.9361783100364734,0.9361783100364734,-0.5799169109860428,0.5799169109860428,1.3690848126131,21.283175849692142,1.254904137277126,1.0,1.0
matching_pennies,"16,1",256.0,0,ew_lola,ew_lola,ew_lola,-0.08581862423466641,0.08581862423466641,-0.041667365662785276,0.041667365662785276,0.7436631594257396,16.434518972625085,1.2914619781552128,0.00390625,1.0
matching_pennies,"16,1",256.0,1,standard,standard,standard,-0.9858970550696926,0.9858970550696926,-0.7222364936432817,0.7222364936432817,1.4042412743781743,17.183005401050455,1.1985726867767155,1.0,1.0
matching_pennies,"16,1",256.0,1,ew,ew,ew,-0.016797655090125915,0.016797655090125915,-0.022464912367375175,0.022464912367375175,0.40611516039342616,20.042378566473918,1.1421902584052332,0.00390625,1.0
matching_pennies,"16,1",256.0,1,lola,lola,lola,-0.8930881821694812,0.8930881821694812,-0.7423536054778912,0.7423536054778912,1.3386154909961543,18.714922751531123,1.3443620087425194,1.0,1.0
matching_pennies,"16,1",256.0,1,ew_lola,ew_lola,ew_lola,-0.05277608208564108,0.05277608208564108,-0.02196732325302297,0.02196732325302297,0.4390556196048086,22.352774070936402,1.2607511275232939,0.00390625,1.0
matching_pennies,"16,1",256.0,2,standard,standard,standard,-0.8977817557653781,0.8977817557653781,-0.5993895325654517,0.5993895325654517,1.3419343402025836,18.369822749066824,1.102592639814062,1.0,1.0
matching_pennies,"16,1",256.0,2,ew,ew,ew,-0.035717776742885565,0.035717776742885565,-0.016545135260232997,0.016545135260232997,0.5838141995809768,21.23124082948429,1.069647145465301,0.00390625,1.0
matching_pennies,"16,1",256.0,2,lola,lola,lola,0.9883572990279295,-0.9883572990279295,-0.7179643522924453,0.7179643522924453,1.4059631892828768,19.602015705736843,1.3363925211355272,1.0,1.0
matching_pennies,"16,1",256.0,2,ew_lola,ew_lola,ew_lola,0.018215332479938978,-0.018215332479938978,0.005848932120407574,-0.005848932120407574,0.33391595817008957,17.550590103540593,1.2628951063943685,0.00390625,1.0
