method,lambda_lola,x,y,converged,final_distance_to_nash,final_reward_p1,final_reward_p2
standard,0.0,-1.0,0.6000000000000001,0.0,1.1431862034932478,0.6509377828193834,-0.6509377828193834
standard,0.0,-1.0,0.8000000000000003,0.0,0.9404113711964311,0.38624613978600997,-0.38624613978600997
standard,0.0,-1.0,1.0,0.0,1.084012375156708,-0.5684265345851265,0.5684265345851265
standard,0.0,-1.0,1.2000000000000002,0.0,1.2175712790849351,-0.7403415670641368,0.7403415670641368
standard,0.0,-1.0,1.4,0.0,0.9162800632477042,0.3362195521875682,-0.3362195521875682
standard,0.0,-1.0,1.6,0.0,1.2816033344145765,0.8211826288376882,-0.8211826288376882
standard,0.0,-0.8,-1.6,0.0,0.8901999796979597,-0.2958547742056383,0.2958547742056383
standard,0.0,-0.8,-1.4000000000000001,0.0,1.182267449783478,-0.6919389192919588,0.6919389192919588
standard,0.0,-0.8,-1.2000000000000002,0.0,1.208002287159172,0.7293446891662367,-0.7293446891662367
standard,0.0,-0.8,-1.0,0.0,0.9404113712022657,-0.38624613979339306,0.38624613979339306
standard,0.0,-0.8,-0.8,0.0,1.0410117544121487,-0.521862563581349,0.521862563581349
standard,0.0,-0.8,-0.6000000000000001,0.0,1.1030839082831223,0.6052432643617977,-0.6052432643617977
standard,0.0,-0.8,-0.3999999999999999,0.0,0.8864406674736455,0.3372367666745903,-0.3372367666745903
standard,0.0,-0.8,-0.19999999999999996,0.0,0.9834478242029463,-0.4615815092801793,0.4615815092801793
standard,0.0,-0.8,0.0,0.0,1.0810629011042645,-0.5839740904584815,0.5839740904584815
standard,0.0,-0.8,0.19999999999999996,0.0,1.0884752513025795,-0.5923692945820216,0.5923692945820216
standard,0.0,-0.8,0.3999999999999999,0.0,1.0905699658389634,-0.5927245677988705,0.5927245677988705
standard,0.0,-0.8,0.6000000000000001,0.0,0.9122707415902942,-0.3640408888122791,0.3640408888122791
standard,0.0,-0.8,0.8000000000000003,0.0,1.0410117544127588,0.5218625635820866,-0.5218625635820866
standard,0.0,-0.8,1.0,0.0,1.1426504566308868,0.6478667790138849,-0.6478667790138849
standard,0.0,-0.8,1.2000000000000002,0.0,1.1024150237599104,-0.5909759770371193,0.5909759770371193
standard,0.0,-0.8,1.4,0.0,1.1650280613305135,-0.6689038770926736,0.6689038770926736
standard,0.0,-0.8,1.6,0.0,1.2550000466840938,0.7859270755092294,-0.7859270755092294
standard,0.0,-0.6000000000000001,-1.6,0.0,1.0217943098547755,-0.4735121944430648,0.4735121944430648
standard,0.0,-0.6000000000000001,-1.4000000000000001,0.0,1.096072725511624,-0.5787890496383499,0.5787890496383499
standard,0.0,-0.6000000000000001,-1.2000000000000002,0.0,1.1898039253742467,0.7068423770086378,-0.7068423770086378
standard,0.0,-0.6000000000000001,-1.0,0.0,1.143186203493725,-0.6509377828200968,0.6509377828200968
standard,0.0,-0.6000000000000001,-0.8,0.0,0.9122707415913538,0.36404088881370533,-0.36404088881370533
standard,0.0,-0.6000000000000001,-0.6000000000000001,0.0,0.8085279479006471,0.24507794539231756,-0.24507794539231756
standard,0.0,-0.6000000000000001,-0.3999999999999999,0.0,1.0364818624232797,-0.5345870533805157,0.5345870533805157
standard,0.0,-0.6000000000000001,-0.19999999999999996,0.0,0.8321748138739049,0.2929943009212745,-0.2929943009212745
standard,0.0,-0.6000000000000001,0.0,0.0,1.0123458748808702,0.5124205112413411,-0.5124205112413411
standard,0.0,-0.6000000000000001,0.19999999999999996,0.0,1.0208954255562483,0.5206264385902439,-0.5206264385902439
standard,0.0,-0.6000000000000001,0.3999999999999999,0.0,1.005563264519751,0.49662398152585085,-0.49662398152585085
standard,0.0,-0.6000000000000001,0.6000000000000001,0.0,0.8085279479000604,-0.24507794539181904,0.24507794539181904
standard,0.0,-0.6000000000000001,0.8000000000000003,0.0,1.1030839082832504,-0.6052432643618815,0.6052432643618815
standard,0.0,-0.6000000000000001,1.0,0.0,1.0706462024362526,0.5578106026092838,-0.5578106026092838
standard,0.0,-0.6000000000000001,1.2000000000000002,0.0,0.9380524289533815,0.3785331139456929,-0.3785331139456929
standard,0.0,-0.6000000000000001,1.4,0.0,1.2342198740632573,-0.7615514610190376,0.7615514610190376
standard,0.0,-0.6000000000000001,1.6,0.0,1.1575508293045669,0.6556207086393062,-0.6556207086393062
standard,0.0,-0.3999999999999999,-1.6,0.0,1.053638714324074,-0.5167888571712358,0.5167888571712358
standard,0.0,-0.3999999999999999,-1.4000000000000001,0.0,1.0301794319381679,-0.4926392430125444,0.4926392430125444
standard,0.0,-0.3999999999999999,-1.2000000000000002,0.0,1.1569408017241394,0.6650226640408399,-0.6650226640408399
standard,0.0,-0.3999999999999999,-1.0,0.0,1.1481422121003915,-0.6590601817975891,0.6590601817975891
standard,0.0,-0.3999999999999999,-0.8,0.0,1.0905699658386472,0.5927245677984372,-0.5927245677984372
standard,0.0,-0.3999999999999999,-0.6000000000000001,0.0,1.0055632645214818,-0.4966239815278882,0.4966239815278882
standard,0.0,-0.3999999999999999,-0.3999999999999999,0.0,0.9048983408792144,0.388523677714205,-0.388523677714205
standard,0.0,-0.3999999999999999,-0.19999999999999996,0.0,0.7163070854474387,-0.18703781711538325,0.18703781711538325
standard,0.0,-0.3999999999999999,0.0,0.0,0.8509571506502459,-0.3488024629038659,0.3488024629038659
