method,lambda_lola,x,y,converged,final_distance_to_nash,final_reward_p1,final_reward_p2
lola,0.0,-1.6,0.0,0.0,0.941697415576324,0.36751631279462105,-0.36751631279462105
lola,0.0,-1.6,0.2666666666666666,0.0,1.0442861897871942,0.5045172680445184,-0.5045172680445184
lola,0.0,-1.6,0.5333333333333332,0.0,1.039714004699157,0.49777056416376375,-0.49777056416376375
lola,0.0,-1.6,0.7999999999999998,0.0,0.8901999796986916,0.29585477420641837,-0.29585477420641837
lola,0.0,-1.6,1.0666666666666664,0.0,0.9287758800473062,-0.34524005824888243,0.34524005824888243
lola,0.0,-1.6,1.333333333333333,0.0,1.2441622568908237,-0.7693208986253794,0.7693208986253794
lola,0.0,-1.6,1.6,0.0,1.3179293546031094,-0.8684613567182162,0.8684613567182162
lola,0.0,-1.3333333333333335,-1.6,0.0,1.2441622568897417,0.7693208986239385,-0.7693208986239385
lola,0.0,-1.3333333333333335,-1.3333333333333335,0.0,1.2672964724930043,-0.8026290869483771,0.8026290869483771
lola,0.0,-1.3333333333333335,-1.0666666666666669,0.0,0.8049772101152894,-0.18951665349592173,0.18951665349592173
lola,0.0,-1.3333333333333335,-0.8,0.0,1.2275516188565492,0.7529784429357461,-0.7529784429357461
lola,0.0,-1.3333333333333335,-0.5333333333333334,0.0,1.1504414481188188,0.6526096547163681,-0.6526096547163681
lola,0.0,-1.3333333333333335,-0.26666666666666683,0.0,0.7768473834229326,0.1638204418566399,-0.1638204418566399
lola,0.0,-1.3333333333333335,0.0,0.0,0.9115644353255681,-0.34056938402411724,0.34056938402411724
lola,0.0,-1.3333333333333335,0.2666666666666666,0.0,1.009534405353092,-0.46843689008180156,0.46843689008180156
lola,0.0,-1.3333333333333335,0.5333333333333332,0.0,0.9389211949404352,-0.3743309601019181,0.3743309601019181
lola,0.0,-1.3333333333333335,0.7999999999999998,0.0,0.774583034226746,0.15494830974830665,-0.15494830974830665
lola,0.0,-1.3333333333333335,1.0666666666666664,0.0,1.1894610749505592,0.7007672458252736,-0.7007672458252736
lola,0.0,-1.3333333333333335,1.333333333333333,0.0,1.267296472492892,0.8026290869482456,-0.8026290869482456
lola,0.0,-1.3333333333333335,1.6,0.0,0.780537504573725,-0.14067384928971893,0.14067384928971893
lola,0.0,-1.0666666666666669,-1.6,0.0,0.9287758800480923,0.34524005825007187,-0.34524005825007187
lola,0.0,-1.0666666666666669,-1.3333333333333335,0.0,1.1894610749457915,-0.7007672458190081,0.7007672458190081
lola,0.0,-1.0666666666666669,-1.0666666666666669,0.0,1.2167073909212265,0.7401882291502065,-0.7401882291502065
lola,0.0,-1.0666666666666669,-0.8,0.0,0.9916849979736745,-0.4503241308878115,0.4503241308878115
lola,0.0,-1.0666666666666669,-0.5333333333333334,0.0,1.138185249459731,-0.6434900009702115,0.6434900009702115
lola,0.0,-1.0666666666666669,-0.26666666666666683,0.0,0.6596775685598697,0.03349807238002683,-0.03349807238002683
lola,0.0,-1.0666666666666669,0.0,0.0,1.03949215001972,0.5191437573723034,-0.5191437573723034
lola,0.0,-1.0666666666666669,0.2666666666666666,0.0,1.0852470574550082,0.5770555520425568,-0.5770555520425568
lola,0.0,-1.0666666666666669,0.5333333333333332,0.0,0.9822974069499086,0.4424343629246673,-0.4424343629246673
lola,0.0,-1.0666666666666669,0.7999999999999998,0.0,0.9183252989876076,-0.3552031064552385,0.3552031064552385
lola,0.0,-1.0666666666666669,1.0666666666666664,0.0,1.2167073909212416,-0.7401882291502238,0.7401882291502238
lola,0.0,-1.0666666666666669,1.333333333333333,0.0,0.8049772101331941,0.18951665351960006,-0.18951665351960006
lola,0.0,-1.0666666666666669,1.6,0.0,1.2759795568083483,0.8133874424597338,-0.8133874424597338
lola,0.0,-0.8,-1.6,0.0,0.8901999796979597,-0.2958547742056383,0.2958547742056383
lola,0.0,-0.8,-1.3333333333333335,0.0,0.7745830342465407,-0.15494830977427831,0.15494830977427831
lola,0.0,-0.8,-1.0666666666666669,0.0,0.9183252989854198,0.3552031064523039,-0.3552031064523039
lola,0.0,-0.8,-0.8,0.0,1.0410117544121487,-0.521862563581349,0.521862563581349
lola,0.0,-0.8,-0.5333333333333334,0.0,1.1128351161815155,0.618768140242255,-0.618768140242255
lola,0.0,-0.8,-0.26666666666666683,0.0,0.8475310020551509,-0.29172691746746693,0.29172691746746693
lola,0.0,-0.8,0.0,0.0,1.0810629011042645,-0.5839740904584815,0.5839740904584815
lola,0.0,-0.8,0.2666666666666666,0.0,1.0923339719728882,-0.596581145742197,0.596581145742197
lola,0.0,-0.8,0.5333333333333332,0.0,1.0232953308819384,-0.5057328063658676,0.5057328063658676
lola,0.0,-0.8,0.7999999999999998,0.0,1.0410117544036057,0.5218625635706109,-0.5218625635706109
lola,0.0,-0.8,1.0666666666666664,0.0,0.9916849979777298,0.4503241308931157,-0.4503241308931157
lola,0.0,-0.8,1.333333333333333,0.0,1.2275516188564515,-0.7529784429355507,0.7529784429355507
lola,0.0,-0.8,1.6,0.0,1.2550000466840938,0.7859270755092294,-0.7859270755092294
