game,noise_pair,noise_ratio,seed,step,method,reward_p1,reward_p2,lambda_step,distance_to_nash,avg_grad_norm_p1,avg_grad_norm_p2,avg_noise_norm_p1,avg_noise_norm_p2
rock_paper_scissors,"1,1",1.0,0,6,ew,0.1347846760127719,-0.1347846760127719,0.13244802086093616,0.7030516478040931,0.10414450762588147,0.09454228256188786,1.4380249075814553,1.552925350219579
rock_paper_scissors,"1,1",1.0,0,7,ew,0.07031122454885258,-0.07031122454885258,0.12408064788027995,0.6473450302086345,0.12057603730916792,0.1031771150959779,1.4774895159984203,1.55146934428135
rock_paper_scissors,"1,1",1.0,0,0,lola,-0.0016121882092643702,0.0016121882092643702,0.2392558049953953,0.20508110247130035,0.012537197355767962,0.010721977602293353,1.5165206064103396,0.487675523353164
rock_paper_scissors,"1,1",1.0,0,1,lola,0.011530579163629831,-0.011530579163629831,0.20867794400977166,0.1769426102012972,0.02039361083187981,0.04507951529259796,1.2995186280593845,1.2013225130568417
rock_paper_scissors,"1,1",1.0,0,2,lola,0.03214736332063059,-0.03214736332063059,0.18589446419403266,0.4004960040484067,0.03137796946550594,0.04630773008159694,1.0368360489039692,1.7958132866572116
rock_paper_scissors,"1,1",1.0,0,3,lola,0.09523062593198207,-0.09523062593198207,0.16817928305074292,0.5016422953422264,0.0702537823776683,0.04219331707411975,1.2853663386069418,1.5906099037665042
rock_paper_scissors,"1,1",1.0,0,4,lola,0.03590275886153879,-0.03590275886153879,0.1539600717839002,0.4927347302143137,0.08962851360977828,0.05386709937881597,1.372318533206576,1.7658821157300366
rock_paper_scissors,"1,1",1.0,0,5,lola,0.003397561833513779,-0.003397561833513779,0.14226235280311383,0.618666921392658,0.11781867572770639,0.04911971660699558,1.4032519721051753,1.6387978468897568
rock_paper_scissors,"1,1",1.0,0,6,lola,0.11803284229810744,-0.11803284229810744,0.13244802086093616,0.6123930718225002,0.13716054683468606,0.04574450773680442,1.6375929843870638,1.5471865367506614
rock_paper_scissors,"1,1",1.0,0,7,lola,0.2784860734696226,-0.2784860734696226,0.12408064788027995,0.8316347924305822,0.14955384686430356,0.050303784785160024,1.7514576691642123,1.4554012863038213
rock_paper_scissors,"1,1",1.0,0,0,ew_lola,0.00405057909470341,-0.00405057909470341,0.2392558049953953,0.10633298898984533,0.012537197355767962,0.010721977602293353,1.4511838295890385,1.1143196798462034
rock_paper_scissors,"1,1",1.0,0,1,ew_lola,0.005767964665912409,-0.005767964665912409,0.20867794400977166,0.12459344501808631,0.027079553034026815,0.015623475762212166,0.8701673283569813,0.7227355077046038
rock_paper_scissors,"1,1",1.0,0,2,ew_lola,0.0422176935258797,-0.0422176935258797,0.18589446419403266,0.3211061502432099,0.03238209704566866,0.01921197028572709,1.0965036745540682,1.2096736968111081
rock_paper_scissors,"1,1",1.0,0,3,ew_lola,0.05772349860505588,-0.05772349860505588,0.16817928305074292,0.40533048417775525,0.050302277860357736,0.03625458616165497,1.140104419279313,1.1847913359506619
rock_paper_scissors,"1,1",1.0,0,4,ew_lola,0.12032897488367994,-0.12032897488367994,0.1539600717839002,0.5441223926640618,0.056230935974499574,0.05712814235896604,1.0642633489165152,1.3781152237019652
rock_paper_scissors,"1,1",1.0,0,5,ew_lola,0.03171606076667924,-0.03171606076667924,0.14226235280311383,0.39164342380000955,0.0711575528754703,0.07423508790625759,0.9182207306135219,1.5452386688324022
rock_paper_scissors,"1,1",1.0,0,6,ew_lola,0.059937444010997765,-0.059937444010997765,0.13244802086093616,0.5014858933682002,0.06563372570076119,0.0891170530485537,0.9296633092844837,1.5022489634028884
rock_paper_scissors,"1,1",1.0,0,7,ew_lola,0.0005227345359417324,-0.0005227345359417324,0.12408064788027995,0.3777598173895041,0.06309872312062256,0.0985983578536834,0.9546330392284736,1.5452956453465125
